sampleID,read_count,Abiotrophia_defectiva,Acidovorax_facilis,Actinoplanes_regularis,Anaerosphaera_aminiphila,Arthrobacter_cumminsii,Arthrobacter_humicola,Atopobium_deltae,Atopobium_minutum,Atopobium_oraltaxon810,Atopobium_parvulum,Atopobium_rimae,Atopobium_vaginae,Bradyrhizobium_jicamae,Brevundimonas_bullata,BVAB1,BVAB2.BVAB3,c_Actinobacteria,c_Alphap,c_Betap,c_Clostridia,c_Coriobacteriia,c_Gammap,c_Negativicutes,Capnocytophaga_sputigena,Clostridium_colicanis,d_NA,Eggerthia_catenaformis,Eubacterium_rectale,f_Bradyrhizobiaceae,f_Caulobacteraceae,f_Enterobacteriaceae,f_Erysipelotrichaceae,f_Lachnospiraceae,f_Microbacteriaceae,f_Peptostreptococcaceae,f_Porphyromonadaceae,f_Propionibacteriaceae,f_Ruminococcaceae,Fastidiosipila_sanguinis,Fretibacterium_fastidiosum,g_Abiotrophia,g_Acidaminococcus,g_Acinetobacter,g_Actinobaculum,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Afipia,g_Agromyces,g_Alloprevotella,g_Alloscardovia,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Aureimonas,g_Bacillus,g_Bacteroides,g_Bergeyella,g_Bifidobacterium,g_Blautia,g_Bosea,g_Bradyrhizobium,g_Brevibacterium,g_Brevundimonas,g_Bulleidia,g_Campylobacter,g_Casaltella,g_Catonella,g_Caulobacter,g_Chlamydia,g_Chryseobacterium,g_Citrobacter,g_Clostridium,g_Coprococcus,g_Corynebacterium,g_Cutibacterium,g_Delftia,g_Dermabacter,g_Dialister,g_Dorea,g_Eggerthella,g_Enterococcus,g_Erysipelatoclostridium,g_Escherichia.Shigella,g_Eubacterium,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Fenollaria,g_Filifactor,g_Finegoldia,g_Fusobacterium,g_Gemella,g_Gleimia,g_Globicatella,g_Granulicatella,g_Haemophilus,g_Helcococcus,g_Jonquetella,g_Klebsiella,g_Lachnoanaerobaculum,g_Lachnoclostridium,g_Lactobacillus,g_Lagierella,g_Leptotrichia,g_Megasphaera,g_Metaprevotella,g_Methylobacillus,g_Microbacterium,g_Mobiluncus,g_Mogibacterium,g_Moraxella,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Oligella,g_Olsenella,g_Oribacterium,g_Pacaella,g_Papillibacter,g_Parabacteroides,g_Parvimonas,g_Pelomonas,g_Peptoclostridium,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Porphyromonas,g_Prevotella,g_Propionibacterium,g_Propionimicrobium,g_Proteus,g_Pseudoglutamicibacter,g_Pseudomonas,g_Pseudopropionibacterium,g_Ralstonia,g_Roseburia,g_Roseomonas,g_Rothia,g_Ruminococcus,g_Scardovia,g_Schaalia,g_Sneathia,g_Solobacterium,g_Sphingobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Sutterella,g_Taylorella,g_Treponema,g_Trichococcus,g_Trueperella,g_unclassified.bacterium,g_Ureaplasma,g_Varibaculum,g_Veillonella,g_Winkia,g_Yersinia,Gardnerella_vaginalis,k_Bacteria,Kosakonia_sacchari,Lachnoanaerobaculum_orale,Lachnoanaerobaculum_umeaense,Lactobacillus_coleohominis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Lactobacillus_paracasei_Lactobacillus_rhamnosus,Lactobacillus_pontis,Lactobacillus_reuteri,Lactobacillus_salivarius,Lautropia_mirabilis,Methylobacterium_populi,Neorhizobium_alkalisoli,Neorhizobium_huautlense,o_Bacillales,o_Bacteroidales,o_Burkholderiales,o_Fusobacteriales,o_Lactobacillales,o_Micrococcales,o_Rhizobiales,Oribacterium_sinus,Ornithinibacillus_contaminans,p_Bacteroidetes,p_Firmicutes,p_Proteobacteria,Pelomonas_puraquae,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_colorans,Prevotella_copri,Prevotella_corporis,Prevotella_denticola,Prevotella_disiens,Prevotella_histicola,Prevotella_melaninogenica,Prevotella_nanceiensis,Prevotella_oris,Prevotella_stercorea,Prevotella_timonensis,Prevotella_veroralis,Pseudocitrobacter_anthropi,Pseudomonas_aeruginosa,Pseudomonas_hibiscicola,Pseudomonas_psychrotolerans,Psychrobacter_vallis,Rhodanobacter_spathiphylli,Rhodococcus_qingshengii,Shuttleworthia_satelles,Shuttleworthia_satelles...39,Shuttleworthia_satelles...40,Sneathia_amnii,Sneathia_sanguinegens,Stomatobaculum_longum,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
DL_259,8168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005498390417912089,0.04078950228742376,0.015532353286108625,0.17638775474735627,0.16705438051737714,0.015499539841667886,0.03532804970154661,0.029776231644907804,0.006541461562279341,0.006413739461957358,0.0014417074269292656,0.03892608765333319,0.8645214416358223,V,0.8645214416358223,V
DL_260,3836,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004768629875163317,0.05458047108556246,0.04118789077956687,0.6512751355289761,0.6567915431641544,0.052450055724548916,0.11549082319692784,0.08796220030981301,0.016012539423824728,0.011918104071855383,0.0017599978345316772,0.11446647286011531,0.7648290172586946,V,0.7648290172586946,V
DL_70,7919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,6966,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002933906676111591,0.04713823187524382,0.06612443139825841,0.9945398607913349,0.841123725902192,0.055514043667883234,0.1200557775948376,0.08109967291722456,0.018298166233144068,0.01259009544026583,0.0012510668928030076,0.1267286761631176,0.3074651385127246,III-A,0.9945398607913349,III
DL_69,3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,2121,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003712231912328977,0.05455986262516675,0.21397548214229678,0.7950919975097869,0.815410771201462,0.06074442696836135,0.13356689164249713,0.10501160637740414,0.02046376301764674,0.016151636425715994,0.0027265908983796967,0.1329894670948378,0.49806619951293435,III-B,0.815410771201462,III
DL_68,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,1664,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003589217583608798,0.052698623460998455,0.11279122948403789,0.9123032117674452,0.8632537878615196,0.05966345924473218,0.1304834427390329,0.09450783894244649,0.019379910139999238,0.014225134334453736,0.001857719312512735,0.13339078851118985,0.44644730896753076,III-A,0.9123032117674452,III
DL_67,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1592,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039249346646446255,0.05269749044711664,0.050931555003306074,0.8917758793957452,0.8255754445890882,0.057111118209408854,0.12475400590532745,0.08790568012293466,0.017899100268237003,0.012697758102113679,0.0013677244738535463,0.12853808627306762,0.5065280671155004,III-A,0.8917758793957452,III
DL_419,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024496647188589093,0.042478620195937296,0.04525337832895134,0.9896310438589846,0.7744859200647355,0.05080787919280718,0.1090484988570315,0.07087173025168286,0.017140488104213134,0.011384888351013048,0.0009105042352615261,0.11765503690532182,0.2298820264172568,III-A,0.9896310438589846,III
DL_418,983,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002391953340663874,0.04389509724281925,0.04753994155718996,0.9618031091290685,0.8558551159617991,0.061412349623022285,0.1299317831504228,0.08484994418377376,0.017961976927191196,0.012039304831495163,0.0012304001296424213,0.1294135332242077,0.24957406714777983,III-A,0.9618031091290685,III
DL_197,5060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002548914461278909,0.04258260587835572,0.045257873672986414,0.9896691862096821,0.7746583159897477,0.05081593537196151,0.10906840866911789,0.070894151071541,0.01714299060260644,0.011390886701621613,0.0009110582277102257,0.11767133562448417,0.2299166102287521,III-A,0.9896691862096821,III
DL_196,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002449896974768536,0.042487173319585216,0.04540562251791834,0.9896898007156971,0.7746647579848694,0.050819612293469985,0.10907561323172359,0.07089762610475166,0.01714546156616737,0.011390098981780549,0.000912058223565926,0.117678978153022,0.22993291506967678,III-A,0.9896898007156971,III
